IE_NAME;IE_ID;IE_ACTIVE;IE_CODE;IE_SORT;IP_PROP238;IP_PROP169
Основа 2 DLS3000 ;14147;Y;osnova_2_dls3000_;1400;2 DLS3000 ;3000
Клин 1 DLS0500 ;14148;Y;klin_1_dls0500_;2300;1 DLS0500 ;500
Основа 2 DLS0250 ;14149;Y;osnova_2_dls0250_;1200;2 DLS0250 ;250
Основа 2 DLS0500 ;14150;Y;osnova_2_dls0500_;1300;2 DLS0500 ;500
Клин 1DLS1500;14151;Y;klin_1dls1500;2400;1DLS1500;1500
Зажим 3 DLS0001 ;14152;Y;zazhim_3_dls0001_;3100;3 DLS0001 ;
Клин 1 DLS0250 ;14153;Y;klin_1_dls0250_;2200;1 DLS0250 ;250
Клин 1 DLS0100 ;14154;Y;klin_1_dls0100_;2100;1 DLS0100 ;100
Основа 2 DLS0100 ;14155;Y;osnova_2_dls0100_;1100;2 DLS0100;100
